timestamp,service_name,event_code,event_provider,trace_id,transaction_id,message,callee,call_duration
2025-06-03 11:32:10:495,service_9,package_3.package_6.package_5.interface_7.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:1, function_5",service_23,0.002
2025-06-03 11:32:10:497,service_9,package_3.package_6.package_5.interface_8.function_7,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:20, function_7 0",service_23,0.0
2025-06-03 11:32:10:499,service_9,package_3.package_6.package_5.interface_8.function_8,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:20, function_8 0",service_23,0.003
2025-06-03 11:32:10:502,service_9,package_3.package_6.package_5.interface_8.function_9,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:20, function_9 0",service_23,0.002
2025-06-03 11:32:10:504,service_9,package_3.package_6.package_5.interface_8.function_10,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:20, function_10 0",service_23,0.002
2025-06-03 11:32:10:506,service_9,package_3.package_6.package_5.interface_8.function_11,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:20, function_11 0",service_23,0.0
2025-06-03 11:32:10:510,service_9,package_3.package_6.package_5.interface_9.function_12,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:21, function_12 1, object[id:2970299:service_23:20]",service_23,0.002
2025-06-03 11:32:10:542,service_21,package_3.interface_2.function_2,infrastructure,ae7096ff-0ba2-4b9c-be9b-30edc0c2ecce,a3dd9882-2999-48cd-be52-864b9c57b7af,"-> Client, 2970299:service_14:1, function_2",service_14,0.011
2025-06-03 11:32:11:038,service_21,package_3.interface_2.function_2,infrastructure,532f5b73-e84b-4338-94bf-d458e7cff038,bca7a13a-566f-46d0-b018-15fb298a3d62,"-> Client, 2970299:service_14:1, function_2",service_14,0.009
2025-06-03 11:32:15:388,service_21,package_3.package_4.interface_10.function_13,infrastructure,9bbb3b04-3bad-4335-8953-40b9bd5857ec,486ac470-b845-45c5-82fb-c8a924a87dfe,"-> Client, 2970299:service_3:5, function_13",service_3,0.104
